"","item","qudbias","prior","none.accept","all.accept","sbna.accept","none.prior","all.prior","sbna.prior","none.qud","all.qud","many.qud","new.prior","new.accept"
"1",1,"AllBias","All",11.4421079601709,10.4059111267371,87.2285609127714,16.6666666666667,87.4007540619192,66.6135915527121,14.4896528047372,86.0522681565392,43.8466950830363,74.3937490800913,87.3672780684094
"2",1,"HowManyBias","All",27.0377165391603,0.570966513143469,90.9861557290391,0.0577566290817558,82.4722084099985,60.2724335374077,3.10201145496971,86.6699220893125,75.6621024523198,74.3937490800913,87.3672780684094
"3",1,"NoneBias","All",44.1686464172545,2.86198351546698,83.8871175634178,10.6637461834594,86.9754511120436,59.2033006509972,80,36.0110550165255,55.3919284547937,74.3937490800913,87.3672780684094
"4",2,"AllBias","All",50.2573229010554,2.9750035557727,63.2636983161281,31.8297825269352,12.4533462300112,84.3168402777778,60.403075682413,47.1347096466817,51.2555406643057,41.8101032320068,69.2585737843872
"5",2,"HowManyBias","All",52.0146086491751,0.0463898154493915,68.893155864125,17.3181252167656,20.4842267606973,100,45.1856032844167,22.7177177177177,75.5832119067233,41.8101032320068,69.2585737843872
"6",2,"NoneBias","All",27.4342359767892,10.5542889077189,75.6188671729086,57.8002371816332,5.30270340655183,89.9619824593415,73.8430024612437,15,66.5867246008896,41.8101032320068,69.2585737843872
"7",3,"AllBias","All",20.1543699612858,1.85354960525337,91.0006706464654,9.09090909090909,81.8981106672071,69.5260596821568,30.0298815355458,73.35,47.7033148628942,74.4697818478034,86.3540154660925
"8",3,"HowManyBias","All",14.9836452685129,10.4324016297969,86.9950265313292,8.77317778726229,89.5409731792643,49.7878499247412,35.5055047038052,46.7776272995114,73.2480818287576,74.4697818478034,86.3540154660925
"9",3,"NoneBias","All",33.5607169220237,3.62255880350387,81.0663492204828,8.33333333333333,82.6112795393242,66.0185571459789,57.0788163464009,39.8152145917654,62.0474745235997,74.4697818478034,86.3540154660925
"10",4,"AllBias","All",25.9443258873493,9.58396944930881,77.8947368421053,14.9148569969251,49.8099891422367,82.4417941875222,28.7590863252661,72.2704338914252,51.9700549172681,62.0617307062983,85.3335364316269
"11",4,"HowManyBias","All",37.690906076351,2.46067250261406,90.706664840266,6.83840264845851,58.6025677919668,75.5452711717784,26.4733874763537,42.1899158579823,82.0239920663346,62.0617307062983,85.3335364316269
"12",4,"NoneBias","All",36.8196078222025,0.922345626831672,87.3992076125093,31.8431095049775,53.8359572256052,76.5683614316014,77.040637221072,21.5358362026648,43.4639898576033,62.0617307062983,85.3335364316269
"13",5,"AllBias","All",28.2992545732621,0.744702014373715,98.97542997543,0,89.266975308642,68.2628127995028,66.527018438651,43.9348449673459,49.8670978111089,76.3573785230757,82.5000312460417
"14",5,"HowManyBias","All",32.9760156153804,0.516331619008172,78.5041893521651,3.89222910356675,90.9090909090909,59.3997861873774,28.4887191612831,18.8634522192383,100,76.3573785230757,82.5000312460417
"15",5,"NoneBias","All",32.1714457654888,9.71016933221456,70.0204744105301,0,72.4101587301587,87.6319566078884,93.338458417074,1.53352111271126,49.6372404581941,76.3573785230757,82.5000312460417
"16",6,"AllBias","All",35.0132497322182,2.45341765547453,77.4549232950779,16.4320306824284,40.1546511627907,70.2686868686869,24.1183585991473,86.5423443634324,17.1544761777012,57.8899376374826,78.8683083346953
"17",6,"HowManyBias","All",14.3794784409955,9.80951205590608,88.0873643463705,5.90932109941871,48.4224885795677,93.2150767040832,60.6385293644125,13.9704910651333,75.8978791928875,57.8899376374826,78.8683083346953
"18",6,"NoneBias","All",56.7966457903929,1.10821679737756,71.0626373626374,27.4057625934364,25.0288031199855,77.8484341381783,74.5685239152077,30.7624989731526,47.3353904061891,57.8899376374826,78.8683083346953
"19",7,"AllBias","All",21.4257997405645,9.35158595141228,78.2388808572691,1.36720142602496,82.6214001999892,89.1289472179079,26.2702708616017,83.5638124815144,31.1001285022747,79.3800210658914,78.3860970587006
"20",7,"HowManyBias","All",43.5093656221665,10.2128076411264,63.7676885596394,0.207018675471397,91.6666666666667,36.9286827631293,22.8378556215231,70.521568627451,55.735114349005,79.3800210658914,78.3860970587006
"21",7,"NoneBias","All",28.9062907177076,4.77829055258218,93.1517217591933,0.512504674130612,100,60.8098297701614,69.9310056449927,46.4257358002955,52.417583948936,79.3800210658914,78.3860970587006
"22",8,"AllBias","All",36.8513137081263,3.62115799511095,75.3023454265307,0,78.0171270087605,84.9786117873742,11.8844134090494,90.0208646183932,52.5169563881351,72.1437722727045,77.1181235355631
"23",8,"HowManyBias","All",32.5827922949587,0.469571033652608,80.7692469217287,3.00328633520619,72.5910808969501,72.2482873157567,12.7760510410175,32.4799147057821,100,72.1437722727045,77.1181235355631
